岗位,学历,年薪(万),经验(年)
Python测试工程师,本科,3.5999999999999996,0.0
Python开发工程师,本科,20.8,1.0
Python开发工程师,大专,9.600000000000001,0.0
Python开发工程师,本科,22.75,0.0
爬虫工程师,本科,39.0,2.0
Agent Aigc应用开发工程师,本科,20.8,3.0
Agi大模型开发（大厂）,本科,4.800000000000001,2.0
资产管理中心 系统开发工程师（交易系统Sre） G01297,本科,22.799999999999997,2.0
爬虫数据采集工程师,大专,6.300000000000001,2.0
数据仓库工程师,本科,21.599999999999998,3.0
爬虫工程师,本科,22.799999999999997,4.0
爬虫开发工程师,本科,18.0,3.0
